title	price	image	link
.hack//G.U. Last Recode	$4.35	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0038643_0.jpeg	https://www.gamebillet.com/the-world-with-hackgu-last-recode
10 Second Ninja X	$1.00	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0063545_0.jpeg	https://www.gamebillet.com/10-second-ninja-x
11-11 Memories Retold	$3.55	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0064118_0.jpeg	https://www.gamebillet.com/11-11-memories-untold
112 Operator	$21.24	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0155810_0.jpeg	https://www.gamebillet.com/112-operator-z
12 is Better Than 6	$9.99	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0163444_0.jpeg	https://www.gamebillet.com/12-is-better-than-6
16bit Trader	$2.54	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0152247_0.png	https://www.gamebillet.com/16bit-trader-z
15 Days	$8.29	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0003479_0.jpeg	https://www.gamebillet.com/15-days-new
1954 Alcatraz	$0.66	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0003497_0.jpeg	https://www.gamebillet.com/1954-alcatraz-z
20.000 Leagues Under The Sea - Captain Nemo	$0.30	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0149289_0.jpeg	https://www.gamebillet.com/20000-leagues-under-the-sea-captain-nemo
2018 Scenarios - Power & Revolution 2020 Steam Edition	$10.55	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0103423_0.jpeg	https://www.gamebillet.com/2018-scenarios-power-revolution-2020-steam-edition-old
2019 Scenarios - Power & Revolution 2020 Steam Edition	$10.07	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0103205_0.jpeg	https://www.gamebillet.com/2019-scenarios-power-revolution-2020-steam-edition-old
