title	price	image	link
.hack//G.U. Last Recode	$6.60	https://sttc.gamersgate.com/images/product/hack-gu-last-recode/cover-616-953f1f.jpg	https://www.gamersgate.com/product/hack-gu-last-recode/
10,000,000	$4.99	https://sttc.gamersgate.com/images/product/10000000/cover-616-890a46.jpg	https://www.gamersgate.com/product/10000000/
100% Orange Juice	$1.31	https://sttc.gamersgate.com/images/product/100-orange-juice/cover-616-156689.jpg	https://www.gamersgate.com/product/100-orange-juice/
100% Orange Juice - 4 Pack	$14.99	https://sttc.gamersgate.com/images/product/100-orange-juice-4-pack/cover-616-0c81b9.jpg	https://www.gamersgate.com/product/100-orange-juice-4-pack/
100% Orange Juice - Alicianrone & Teotoratta Character Pack	$1.13	https://sttc.gamersgate.com/images/product/100-orange-juice-alicianrone-teotoratta-character-pack/cover-616-58d9c9.jpg	https://www.gamersgate.com/product/100-orange-juice-alicianrone-teotoratta-character-pack/
100% Orange Juice - Arnelle & Maynie Character Pack	$1.13	https://sttc.gamersgate.com/images/product/100-orange-juice-arnelle-maynie-character-pack/cover-616-4f2697.jpg	https://www.gamersgate.com/product/100-orange-juice-arnelle-maynie-character-pack/
100% Orange Juice - Breaker Pack	$1.50	https://sttc.gamersgate.com/images/product/100-orange-juice-breaker-pack/cover-616-19487f.jpg	https://www.gamersgate.com/product/100-orange-juice-breaker-pack/
100% Orange Juice - Alter Ego Pack	$2.54	https://sttc.gamersgate.com/images/product/100-orange-juice-alter-ego-pack/cover-616-b9f96c.jpg	https://www.gamersgate.com/product/100-orange-juice-alter-ego-pack/
100% Orange Juice - Character Song Pack: Pudding Pop	$3.99	https://sttc.gamersgate.com/images/product/100-orange-juice-character-song-pack-pudding-pop/cover-616-54ac7e.jpg	https://www.gamersgate.com/product/100-orange-juice-character-song-pack-pudding-pop/
100% Orange Juice - Character Song Pack: Ultimate Weapon Girl	$1.50	https://sttc.gamersgate.com/images/product/100-orange-juice-character-song-pack-ultimate-weapon-girl/cover-616-ba0f0f.jpg	https://www.gamersgate.com/product/100-orange-juice-character-song-pack-ultimate-weapon-girl/
10 Second Ninja X	$0.87	https://sttc.gamersgate.com/images/product/10-second-ninja-x/cover-616-14ff07.jpg	https://www.gamersgate.com/product/10-second-ninja-x/
