title	price	image	link
Grand Theft Auto V: Premium Online Edition	$26.98	https://s3.eu-west-2.amazonaws.com/2gameimg/boxshotcu/45117_full.jpg	https://2game.com/us/grand-theft-auto-v-criminal-enterprise-starter-pack
Monster Hunter World: Iceborne Master Edition	$52.18	https://images.2game.com/boxshotcu/56994_full.jpg	https://2game.com/us/monster-hunter-world-iceborne-master-edition
Grand Theft Auto V: Premium Online Edition	$26.98	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/grand-theft-auto-v-criminal-enterprise-starter-pack
Monster Hunter: World	$26.09	https://images.2game.com/boxshotcu/56826_full.jpg	https://2game.com/us/monster-hunter-world
Grand Theft Auto V: Premium Online Edition & Me...	$80.61	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/grand-theft-auto-v-cesp-megalodon-shark-card-bundle
Monster Hunter World: Iceborne Master Edition	$52.18	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/monster-hunter-world-iceborne-master-edition
Monster Hunter: World	$26.09	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/monster-hunter-world
Risk of Rain 2	$20.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/risk-of-rain-2-early-access
Company of Heroes 2™: Master Collection	$32.76	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/company-of-heroes-2tm-master-collection-row
Starship Troopers: Extermination	$27.29	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/starship-troopers-extermination
The Great Ace Attorney Chronicles	$34.79	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/the-great-ace-attorney-chronicles
Monster Hunter World: Iceborne Master Edition D...	$60.87	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/monster-hunter-world-iceborne-master-edition-digital-deluxe
The Guild 3	$26.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/the-guild-3
Wreckfest	$24.29	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/wreckfest
Last Train Home	$35.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/last-train-home
Monster Hunter World: Iceborne	$34.79	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/monster-hunter-world-iceborne
Yakuza: Like a Dragon Legendary Hero Edition	$80.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/yakuza-like-a-dragon-legendary-hero-edition
Grand Theft Auto V: Premium Online Edition & Wh...	$54.25	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/grand-theft-auto-v-cesp-whale-shark-card-bundle
Endless Space® 2 - Definitive Edition	$84.97	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/endless-spacer-2-definitive-edition
Sid Meier’s Civilization® VI Anthology	$88.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/sid-meier-s-civilizationr-vi-anthology-aspyr
Risk of Rain 2: Survivors of the Void	$12.14	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/risk-of-rain-2-survivors-of-the-void
Homeworld Remastered Collection	$27.64	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/homeworld-remastered-collection
DREDGE	$22.49	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/dredge
Street Fighter 30th Anniversary Collection	$26.09	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/street-fighter-30th-anniversary-collection
Grand Theft Auto V: Premium Online Edition & Gr...	$40.48	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/grand-theft-auto-v-cesp-great-white-shark-card-bundle
Overcooked! 2	$22.24	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/overcooked-2
The Dark Pictures Anthology : Season One	$84.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/the-dark-pictures-anthology-season-one
SnowRunner - 3-Year Anniversary Edition	$80.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/snowrunner-3-year-anniversary-edition
Company of Heroes: Complete Pack	$33.29	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/company-of-heroes-complete-pack
SnowRunner	$26.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/snowrunner
Resident Evil 2	$34.79	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-2
Devil May Cry HD Collection	$26.09	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/devil-may-cry-hd-collection
Warhammer 40,000: Rogue Trader – Deluxe Pack	NULL	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/warhammer-40-000-rogue-trader-deluxe-pack
MX vs ATV Legends	$35.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/mx-vs-atv-legends
ELDEN RING	$56.39	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/elden-ring
Atomic Heart - Premium Edition	$89.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/atomic-heart-premium-edition
Total War: WARHAMMER – The King & the Warlord	$8.09	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/total-war-warhammer-the-king-the-warlord-row
Resident Evil 6	$26.09	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-6
RollerCoaster Tycoon® 3: Complete Edition	$17.79	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/rollercoaster-tycoonr-3-complete-edition
Titan Quest Anniversary Edition	$16.19	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/titan-quest-anniversary-edition
RESIDENT EVIL 7 Gold Edition	$34.96	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-7-gold-edition
Persona 3 Portable	$17.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/persona-3-portable
Dragon's Dogma: Dark Arisen	$26.09	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/dragon-s-dogma-dark-arisen
