title	price	image	link
TEKKEN 8	$59.49	https://images.2game.com/boxshotcu/76813_TtUwQau7_full.jpg	https://2game.com/us/tekken-8
TEKKEN 8 - Deluxe Edition	$84.99	https://images.2game.com/boxshotcu/76814_odioUW42_full.jpg	https://2game.com/us/tekken-8-deluxe-edition
TEKKEN 8 - Ultimate Edition	$93.49	https://images.2game.com/boxshotcu/76815_CymRSJmQ_full.jpg	https://2game.com/us/tekken-8-ultimate-edition
TEKKEN 8	$59.49	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/tekken-8
TEKKEN 8 - Deluxe Edition	$84.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/tekken-8-deluxe-edition
TEKKEN 8 - Ultimate Edition	$93.49	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/tekken-8-ultimate-edition
Risk of Rain 2	$10.50	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/risk-of-rain-2-early-access
Devil May Cry HD Collection	$8.61	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/devil-may-cry-hd-collection
V Rising	$15.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/v-rising
Unrailed!	$3.50	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/unrailed
Overcooked! 2	$5.56	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/overcooked-2
Resident Evil 6	$4.44	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-6
Resident Evil 2 Deluxe Edition	$10.88	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-2-deluxe-edition
Resident Evil 2	$8.70	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-2
Risk of Rain 2: Survivors of the Void	$7.89	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/risk-of-rain-2-survivors-of-the-void
Assetto Corsa Competizione - GT2 Pack	$14.75	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/assetto-corsa-competizione-gt2-pack
A Little to the Left	$9.06	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/a-little-to-the-left
Resident Evil 5 Gold Edition	$6.53	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-5-gold-edition
Barotrauma	$12.25	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/barotrauma
Devil May Cry 4 Special Edition	$6.53	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/devil-may-cry-4-special-edition
Atomic Heart	$32.39	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/atomic-heart
Sid Meier’s Civilization® VI	$5.40	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/sid-meier-s-civilizationr-vi
Overcooked! All You Can Eat	$14.08	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/overcooked-all-you-can-eat
Resident Evil 5	$4.35	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-5
Crusader Kings III: Wards & Wardens	$3.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/crusader-kings-iii-wards-wardens
RESIDENT EVIL 7 Gold Edition	$13.63	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-7-gold-edition
Overcooked	$2.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/overcooked-row
Blasphemous	$5.50	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/blasphemous
